client_name,curr_lic_num,link_id,tanggal,metode,no_risalah_hasil,stn_name,stasiun_lawan,koor_long,koor_lat,tx_mhz,rx_mhz,bw_mhz,merk_perangkat,sertifikat,status,Keterangan
"ASIA TEKNOLOGI SOLUSI, PT.",02501481-000SU/2620212026,13293530,,Pemeriksaan melalui Remote Site,,BEKASI,JASUTRA,106.9905444,-6.25267778,7694,7533,7,CERAGON FIBEAIRA? IP-10 _BW_7GHZ,Ada,Sesuai ISR,
"ASIA TEKNOLOGI SOLUSI, PT.",02476793-000SU/2620212026,13090282,,Pemeriksaan melalui Remote Site,,BEKASI,BAMBU APUS,106.9905444,-6.25267778,8321,8440,28,Ceragon FibeAir??A? IP-20G (8GHz),Ada,Sesuai ISR,
"ASIA TEKNOLOGI SOLUSI, PT.",02502771-000SU/2620212026,13307235,,Pemeriksaan melalui Remote Site,,BEKASI,CIKARANG,106.9905444,-6.25267778,7233,7394,7,CERAGON FIBEAIRA? IP-10 _BW_7GHZ,Ada,Sesuai ISR,
"IFORTE SOLUSI INFOTEK, PT.",02268461-000SU/2620202025,11907587,,Pemeriksaan melalui Remote Site,,,,106.9904917,-6.25278333,,,,,,,
"IFORTE SOLUSI INFOTEK, PT.",02273175-000SU/2620202025,11924635,,Pemeriksaan melalui Remote Site,,MUTIARA#2,TAMBUN,106.9903944,-6.25280556,7439,7600,26,CERAGON,Ada,Tidak Berizin,TIDAK SESUAI ISR
"IFORTE SOLUSI INFOTEK, PT.",02268448-000SU/2620202025,,,Pemeriksaan melalui Remote Site,,SUKADANAU,MUTIARA#2,,,,,,,,Off Air,PENGGUDANGAN
"IFORTE SOLUSI INFOTEK, PT.",02268451-000SU/2620202025,11907573,,Pemeriksaan melalui Remote Site,,MUTIARA#2,FAVE HOTEL,106.9904917,-6.25278333,23030,22022,28,IPASOLINK 1000 ( FREKUENSI 23 GHZ ),Ada,Tidak Berizin,FREK TERBALIK
"IFORTE SOLUSI INFOTEK, PT.",02268456-000SU/2620202025,11907577,,Pemeriksaan melalui Remote Site,,PIK,KEDOYA,106.7505306,-6.11418056,8088.67,7777.35,28,IPASOLINK 1000 KAPASITAS 10-1000MBPS FREKUENSI 8 GHZ,Ada,Tidak Sesuai Parameter Teknis,BANDWIDTH TIDAK SESUAI
"IFORTE SOLUSI INFOTEK, PT.",02268455-000SU/2620202025,11907577,,Pemeriksaan melalui Remote Site,,KEDOYA,PIK,106.7678944,-6.18825,7777.35,8088.67,28,IPASOLINK 1000 KAPASITAS 10-1000MBPS FREKUENSI 8 GHZ,Ada,Tidak Sesuai Parameter Teknis,BANDWIDTH TIDAK SESUAI
JASNIKOM GEMANUSA,02056327-000SU/2620182023,,,Pemeriksaan melalui Remote Site,,OASIS,BNI,107.1311111,-6.37025,7338,7177,7,HARRIS TRUEPOINT,Ada,Tidak Berizin,TIDAK SESUAI ISR
