curr_lic_num,client_name,link_id,stn_name,stasiun_lawan,status,Keterangan,detected_violation_type,mismatch_reason,tx_mhz_clean,rx_mhz_clean,bw_mhz_clean,sims_tx_mhz,sims_rx_mhz,sims_bw_mhz,delta_tx_mhz,delta_rx_mhz,delta_bw_mhz,sims_record_found,license_mismatch_flag,off_air_flag,freq_reversal_flag,bandwidth_mismatch_flag
02268461-000SU/2620202025,"IFORTE SOLUSI INFOTEK, PT.",11907587,,,,,B: Off Air / Warehoused,field record is off air / warehoused,,,,14963.0,14473.0,28.0,,,,1,0,1,0,0
02273175-000SU/2620202025,"IFORTE SOLUSI INFOTEK, PT.",11924635,MUTIARA#2,TAMBUN,Tidak Berizin,TIDAK SESUAI ISR,D: Bandwidth Deviation,bandwidth differs by 2.00 MHz; TX differs by 269.00 MHz; RX differs by 269.00 MHz,7439.0,7600.0,26.0,7170.0,7331.0,28.0,269.0,269.0,2.0,1,1,0,0,1
02268448-000SU/2620202025,"IFORTE SOLUSI INFOTEK, PT.",,SUKADANAU,MUTIARA#2,Off Air,PENGGUDANGAN,B: Off Air / Warehoused,license not found in DataSIMS; field record is off air / warehoused,,,,,,,,,,0,1,1,0,0
02268451-000SU/2620202025,"IFORTE SOLUSI INFOTEK, PT.",11907573,MUTIARA#2,FAVE HOTEL,Tidak Berizin,FREK TERBALIK,C: TX/RX Frequency Reversed,field TX/RX matches SIMS in reversed order; TX differs by 1008.00 MHz; RX differs by 1008.00 MHz,23030.0,22022.0,28.0,22022.0,23030.0,28.0,1008.0,1008.0,0.0,1,1,0,1,0
02268456-000SU/2620202025,"IFORTE SOLUSI INFOTEK, PT.",11907577,PIK,KEDOYA,Tidak Sesuai Parameter Teknis,BANDWIDTH TIDAK SESUAI,D: Bandwidth Deviation,license not found in DataSIMS,8088.67,7777.35,28.0,,,,,,,0,1,0,0,0
02268455-000SU/2620202025,"IFORTE SOLUSI INFOTEK, PT.",11907577,KEDOYA,PIK,Tidak Sesuai Parameter Teknis,BANDWIDTH TIDAK SESUAI,D: Bandwidth Deviation,license not found in DataSIMS,7777.35,8088.67,28.0,,,,,,,0,1,0,0,0
02056327-000SU/2620182023,JASNIKOM GEMANUSA,,OASIS,BNI,Tidak Berizin,TIDAK SESUAI ISR,D: Bandwidth Deviation,bandwidth differs by 3.50 MHz; TX differs by 4023.25 MHz; RX differs by 3862.25 MHz,7338.0,7177.0,7.0,3314.75,3314.75,3.5,4023.25,3862.25,3.5,1,1,0,0,1
02154096-000SU/2620192024,JASNIKOM GEMANUSA,11467111,KEDOYA,SETOS,Sesuai ISR,,A: License Mismatch,license not found in DataSIMS,7142.0,7303.0,7.0,,,,,,,0,1,0,0,0
02066196-000SU/2620182023,JASNIKOM GEMANUSA,,KEDOYA,,Off Air,,B: Off Air / Warehoused,license not found in DataSIMS; field record is off air / warehoused,,,,,,,,,,0,1,1,0,0
02323873-000SU/3520202025,"MAXINDO MITRA SOLUSI, PT.",12149604,OASIS,SAKURA,Off Air,PENGGUDANGAN,B: Off Air / Warehoused,field record is off air / warehoused,,,,7610.0,7449.0,7.0,,,,1,0,1,0,0
02459231-000SU/2620212026,"MAXINDO MITRA SOLUSI, PT.",12914507,OASIS,MAHOGANI,Tidak Berizin,FREK TERBALIK,C: TX/RX Frequency Reversed,field TX/RX matches SIMS in reversed order; TX differs by 161.00 MHz; RX differs by 161.00 MHz,7554.0,7715.0,7.0,7715.0,7554.0,7.0,161.0,161.0,0.0,1,1,0,1,0
02319509-000SU/3520202025,"MAXINDO MITRA SOLUSI, PT.",12128387,OASIS,AYOLA,Tidak Berizin,FREK TERBALIK,C: TX/RX Frequency Reversed,field TX/RX matches SIMS in reversed order; TX differs by 266.00 MHz; RX differs by 266.00 MHz,12817.5,13083.5,7.0,13083.5,12817.5,7.0,266.0,266.0,0.0,1,1,0,1,0
02317717-000SU/3520202025,"MAXINDO MITRA SOLUSI, PT.",12117577,PRIUK,LAGUNA,Off Air,PENGGUDANGAN,B: Off Air / Warehoused,license not found in DataSIMS; field record is off air / warehoused,,,,,,,,,,0,1,1,0,0
02507396-000SU/2620212026,"MAXINDO MITRA SOLUSI, PT.",13345592,PRIUK,THE GROVE,Tidak Berizin,FREK TERBALIK,C: TX/RX Frequency Reversed,license not found in DataSIMS,7408.0,7247.0,7.0,,,,,,,0,1,0,0,0
02318727-000SU/3520202025,"MAXINDO MITRA SOLUSI, PT.",12126029,PRIUK,THE GROVE,Off Air,PENGGUDANGAN,B: Off Air / Warehoused,license not found in DataSIMS; field record is off air / warehoused,,,,,,,,,,0,1,1,0,0
02321064-000SU/3520202025,"MAXINDO MITRA SOLUSI, PT.",12139808,PRIUK,EL ROYALE,Sesuai ISR,,A: License Mismatch,license not found in DataSIMS,13111.5,12845.5,7.0,,,,,,,0,1,0,0,0
02238608-000SU/3520202025,"MAXINDO MITRA SOLUSI, PT.",11743120,TELUK INTAN,SWISS BELL,Sesuai ISR,,A: License Mismatch,license not found in DataSIMS,7331.0,7170.0,7.0,,,,,,,0,1,0,0,0
02319816-000SU/3520202025,"MAXINDO MITRA SOLUSI, PT.",12130259,TELUK INTAN,LAGUNA,Off Air,PENGGUDANGAN,B: Off Air / Warehoused,license not found in DataSIMS; field record is off air / warehoused,,,,,,,,,,0,1,1,0,0
02328144-000SU/3520202025,"MAXINDO MITRA SOLUSI, PT.",12163135,TELUK INTAN,PRIMAJAYA,Sesuai ISR,,A: License Mismatch,license not found in DataSIMS,7324.0,7163.0,7.0,,,,,,,0,1,0,0,0
02317748-000SU/3520202025,"MAXINDO MITRA SOLUSI, PT.",12119505,PIK,INTERANEKA,Off Air,PENGGUDANGAN,B: Off Air / Warehoused,license not found in DataSIMS; field record is off air / warehoused,,,,,,,,,,0,1,1,0,0
02321057-000SU/3520202025,"MAXINDO MITRA SOLUSI, PT.",12139743,PIK,LAGUNA,Sesuai ISR,,A: License Mismatch,license not found in DataSIMS,12789.5,13055.5,7.0,,,,,,,0,1,0,0,0
02323871-000SU/3520202025,"MAXINDO MITRA SOLUSI, PT.",12149606,CYBER,101 DARMAWANGSA,Off Air,PENGGUDANGAN,B: Off Air / Warehoused,license not found in DataSIMS; field record is off air / warehoused,12782.5,13048.5,7.0,,,,,,,0,1,1,0,0
01909197-000SU/2620162021,"NEXCOM INDONESIA, PT.",10083343,BONAVISTA,SUKAWANGI,Sesuai ISR,,A: License Mismatch,license not found in DataSIMS,7359.0,7198.0,7000.0,,,,,,,0,1,0,0,0
01783342-000SU/2620142019,"NEXCOM INDONESIA, PT.",8845117,BONAVISTA,IBIS,Sesuai ISR,,A: License Mismatch,license not found in DataSIMS,7687.0,7526.0,7000.0,,,,,,,0,1,0,0,0
02028234-000SU/2620182023,"NEXCOM INDONESIA, PT.",10915808,BONAVISTA,FX SENAYAN,Sesuai ISR,,A: License Mismatch,license not found in DataSIMS,7715.0,7554.0,7000.0,,,,,,,0,1,0,0,0
01824113-000SU/2620152020,"NEXCOM INDONESIA, PT.",9283446,BONAVISTA,GUNUNG PUTRI,Sesuai ISR,,A: License Mismatch,license not found in DataSIMS,7722.0,7561.0,7000.0,,,,,,,0,1,0,0,0
02104376-000SU/2620192024,"NEXCOM INDONESIA, PT.",11266146,GUNUNG PUTRI,BEKASI,Sesuai ISR,,D: Bandwidth Deviation,bandwidth differs by 6993.00 MHz,7415.0,7254.0,7000.0,7415.0,7254.0,7.0,0.0,0.0,6993.0,1,0,0,0,1
02460621-000SU/2620212026,"NEXCOM INDONESIA, PT.",12927260,GUNUNG PUTRI,CBD SERPONG,Sesuai ISR,,D: Bandwidth Deviation,bandwidth differs by 6993.00 MHz,7701.0,7540.0,7000.0,7701.0,7540.0,7.0,0.0,0.0,6993.0,1,0,0,0,1
01824112-000SU/2620152020,"NEXCOM INDONESIA, PT.",9283446,GUNUNG PUTRI,BONAVISTA,Sesuai ISR,,D: Bandwidth Deviation,bandwidth differs by 6993.00 MHz,7561.0,7722.0,7000.0,7561.0,7722.0,7.0,0.0,0.0,6993.0,1,0,0,0,1
02338235-000SU/2620202025,PALAPA MEDIA INDONESIA,12203906,CYBER,DASANA,Off Air,PENGGUDANGAN,B: Off Air / Warehoused,license not found in DataSIMS; field record is off air / warehoused,,,,,,,,,,0,1,1,0,0
02061983-000SU/2620182023,"PRIMACOM INTERBUANA, PT.",11112383,BNI 46,Gedung Prima Sejahtera,Sesuai ISR,,A: License Mismatch,license not found in DataSIMS,8321.0,8440.0,28.0,,,,,,,0,1,0,0,0
01880417-000SU/2620162021,"PRIMACOM INTERBUANA, PT.",9825447,BNI 46,PT. UNITED TRACTOR,Tidak Berizin,TIDAK SESUAI ISR,A: License Mismatch,license not found in DataSIMS,8321.0,8440.0,28.0,,,,,,,0,1,0,0,0
01880415-000SU/2620162021,"PRIMACOM INTERBUANA, PT.",9825453,BNI 46,PT.PAMA PERSADA,Off Air,PENGGUDANGAN,B: Off Air / Warehoused,license not found in DataSIMS; field record is off air / warehoused,,,,,,,,,,0,1,1,0,0
02061985-000SU/2620182023,"PRIMACOM INTERBUANA, PT.",11112380,BNI 46,Gedung Prima Sejahtera,Sesuai ISR,,A: License Mismatch,license not found in DataSIMS,8293.0,8412.0,28.0,,,,,,,0,1,0,0,0
